scientificName,taxonRank,vernacularName,taxonID,kingdom,phylum,class,order,family,genus,acceptedNameUsage
Caulerpa racemosa,species,總狀蕨藻,KL_Algae_0000001,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa, 
Porphyra,genus,紫菜屬,KL_Algae_0000002,,,,,,, 
Asparagopsis taxiformis,species,蘆筍藻,KL_Algae_0000003,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis, 
Mastophora rosea,species,寬珊藻,KL_Algae_0000004,Plantae,Rhodophyta,Florideophyceae,Corallinales,Mastophoraceae,Mastophora, 
Dudresnaya japonica,species,日本杜蠕藻,KL_Algae_0000005,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dudresnaya, 
Chondrus,genus,角叉菜屬,KL_Algae_0000006,,,,,,, 
Halymenia floresia,species,海膜,KL_Algae_0000007,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Halymenia, 
Hypnea pannosa,species,巢沙菜,KL_Algae_0000008,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea, 
Valoniopsis pachynema,species,指枝藻,KL_Algae_0000009,Plantae,Chlorophyta,Ulvophyceae,Siphonocladales,Valoniaceae,Valoniopsis, 
Ulva pertusa,species,孔石蓴,KL_Algae_0000010,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva, 
Dictyosphaeria cavernosa,species,網球藻,KL_Algae_0000011,Plantae,Chlorophyta,Ulvophyceae,Siphonocladales,Siphonocladaceae,Dictyosphaeria, 
Anser,genus,豆雁,KL_Avian_0000001,,,,,,, 
Aix galericulata,species,鴛鴦,KL_Avian_0000002,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix, 
Mareca penelope,species,赤頸鴨,KL_Avian_0000003,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca, 
Anas zonorhyncha,species,花嘴鴨,KL_Avian_0000004,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
Anas platyrhynchos,species,綠頭鴨,KL_Avian_0000005,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
Anas acuta,species,尖尾鴨,KL_Avian_0000006,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
Anas crecca,species,小水鴨,KL_Avian_0000007,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
Coturnix japonica,species,鵪鶉,KL_Avian_0000008,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix, 
Podiceps nigricollis,species,黑頸鸊鷉,KL_Avian_0000009,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps, 
Columba livia,species,野鴿,KL_Avian_0000010,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba, 
Columba janthina,species,黑林鴿,KL_Avian_0000011,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba, 
Streptopelia orientalis,species,金背鳩,KL_Avian_0000012,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
Streptopelia decaocto,species,灰斑鳩,KL_Avian_0000013,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
Streptopelia tranquebarica,species,紅鳩,KL_Avian_0000014,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
Streptopelia chinensis,species,珠頸斑鳩,KL_Avian_0000015,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia, 
Centropus bengalensis,species,番鵑,KL_Avian_0000016,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Centropus, 
Clamator coromandus,species,冠郭公,KL_Avian_0000017,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Clamator, 
Cuculus canorus,species,大杜鵑,KL_Avian_0000018,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus, 
Cuculus optatus,species,北方中杜鵑,KL_Avian_0000019,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus, 
Caprimulgus jotaka,species,普通夜鷹,KL_Avian_0000020,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus, 
Hirundapus caudacutus,species,白喉針尾雨燕,KL_Avian_0000021,Animalia,Chordata,Aves,Apodiformes,Apodidae,Hirundapus, 
Aerodramus brevirostris,species,短嘴金絲燕,KL_Avian_0000022,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus, 
Apus pacificus,species,叉尾雨燕,KL_Avian_0000023,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus, 
Apus nipalensis,species,小雨燕,KL_Avian_0000024,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus, 
Rallus indicus,species,東亞秧雞,KL_Avian_0000025,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus, 
Gallinula chloropus,species,紅冠水雞,KL_Avian_0000026,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula, 
Amaurornis phoenicurus,species,白腹秧雞,KL_Avian_0000027,Animalia,Chordata,Aves,Gruiformes,Rallidae,Amaurornis, 
Zapornia fusca,species,緋秧雞,KL_Avian_0000028,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana, 
Zapornia pusilla,species,小秧雞,KL_Avian_0000029,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana, 
Himantopus himantopus,species,高蹺鴴,KL_Avian_0000030,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus, 
Pluvialis squatarola,species,灰斑鴴,KL_Avian_0000031,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis, 
Pluvialis fulva,species,太平洋金斑鴴,KL_Avian_0000032,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis, 
Charadrius mongolus,species,蒙古鴴,KL_Avian_0000033,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
Charadrius leschenaultii,species,鐵嘴鴴,KL_Avian_0000034,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
Charadrius alexandrinus,species,東方環頸鴴,KL_Avian_0000035,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
Charadrius dubius,species,小環頸鴴,KL_Avian_0000036,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
Charadrius veredus,species,東方紅胸鴴,KL_Avian_0000037,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
