taxonID,scientificName,taxonRank,vernacularName,kingdom,phylum,class,order,family,genus,acceptedNameUsage
KL_Algae_0000001,Caulerpa racemosa,species,總狀蕨藻,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Caulerpaceae,Caulerpa, 
KL_Algae_0000002,Porphyra,genus,紫菜屬,,,,,,, 
KL_Algae_0000003,Asparagopsis taxiformis,species,蘆筍藻,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis, 
KL_Algae_0000004,Mastophora rosea,species,寬珊藻,Plantae,Rhodophyta,Florideophyceae,Corallinales,Mastophoraceae,Mastophora, 
KL_Algae_0000005,Dudresnaya japonica,species,日本杜蠕藻,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dudresnaya, 
KL_Algae_0000006,Chondrus,genus,角叉菜屬,,,,,,, 
KL_Algae_0000007,Halymenia floresia,species,海膜,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Halymenia, 
KL_Algae_0000008,Hypnea pannosa,species,巢沙菜,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Cystocloniaceae,Hypnea, 
KL_Algae_0000009,Valoniopsis pachynema,species,指枝藻,Plantae,Chlorophyta,Ulvophyceae,Siphonocladales,Valoniaceae,Valoniopsis, 
KL_Algae_0000010,Ulva pertusa,species,孔石蓴,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva, 
KL_Algae_0000011,Dictyosphaeria cavernosa,species,網球藻,Plantae,Chlorophyta,Ulvophyceae,Siphonocladales,Siphonocladaceae,Dictyosphaeria, 
KL_Avian_0000001,Anser,genus,豆雁,,,,,,, 
KL_Avian_0000002,Aix galericulata,species,鴛鴦,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix, 
KL_Avian_0000003,Mareca penelope,species,赤頸鴨,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca, 
KL_Avian_0000004,Anas zonorhyncha,species,花嘴鴨,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
KL_Avian_0000005,Anas platyrhynchos,species,綠頭鴨,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
KL_Avian_0000006,Anas acuta,species,尖尾鴨,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
KL_Avian_0000007,Anas crecca,species,小水鴨,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas, 
KL_Avian_0000008,Coturnix japonica,species,鵪鶉,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix, 
KL_Avian_0000009,Podiceps nigricollis,species,黑頸鸊鷉,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps, 
KL_Avian_0000010,Columba livia,species,野鴿,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba, 
KL_Avian_0000011,Columba janthina,species,黑林鴿,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba, 
