taxonID,scientificNameID,taxonConceptID,taxonomicStatus,kingdom,scientificName,verbatimIdentification,taxonRank,vernacularName,taxonRemarks,identificationQualifier
KL_Avian_0000065,58309,t0098159,accepted,Animalia,Onychoprion anaethetus,Onychoprion anaethetus,species,白眉燕鷗,,
KL_Avian_0000074,60330,t0098966,accepted,Animalia,Thalasseus bergii,Thalasseus bergii,species,鳳頭燕鷗,,
KL_Avian_0000085,60111,t0099005,accepted,Animalia,Sula leucogaster,Sula leucogaster,species,白腹鰹鳥,,
KL_Avian_0000126,56374,t0097037,accepted,Animalia,Falco peregrinus,Falco peregrinus,species,遊隼,,
KL_Avian_0000011,55395,t0097759,accepted,Animalia,Columba janthina,Columba janthina,species,黑林鴿,,
KL_Avian_0000012,60075,t0098989,accepted,Animalia,Streptopelia orientalis,Streptopelia orientalis,species,金背鳩,,
KL_Avian_0000021,56990,t0097274,accepted,Animalia,Hirundapus caudacutus,Hirundapus caudacutus,species,白喉針尾雨燕,,
KL_Avian_0000023,54155,t0100084,accepted,Animalia,Apus pacificus,Apus pacificus,species,叉尾雨燕,,
KL_Avian_0000024,54154,t0100083,accepted,Animalia,Apus nipalensis,Apus nipalensis,species,小雨燕,,
KL_Avian_0000027,53982,t0099934,accepted,Animalia,Amaurornis phoenicurus,Amaurornis phoenicurus,species,白腹秧雞,,
KL_Avian_0000030,74891,t0029682,accepted,Animalia,Himantopus himantopus,Himantopus himantopus,species,高蹺鴴,,
KL_Avian_0000032,84631,t0036267,accepted,Animalia,Pluvialis fulva,Pluvialis fulva,species,太平洋金斑鴴,,
KL_Avian_0000033,263839,t0097638,accepted,Animalia,Anarhynchus mongolus,Anarhynchus mongolus,species,蒙古鴴,,
KL_Avian_0000034,55024,t0097637,accepted,Animalia,Charadrius leschenaultii,Charadrius leschenaultii,species,鐵嘴鴴,,
KL_Avian_0000036,55022,t0097635,accepted,Animalia,Charadrius dubius,Charadrius dubius,species,小環頸鴴,,
KL_Avian_0000037,67236,t0077978,accepted,Animalia,Charadrius veredus,Charadrius veredus,species,東方紅胸鴴,,
KL_Avian_0000043,66195,t0077065,accepted,Animalia,Calidris acuminata,Calidris acuminata,species,尖尾濱鷸,,
KL_Avian_0000051,83524,t0031788,accepted,Animalia,Phalaropus lobatus,Phalaropus lobatus,species,紅領瓣足鷸,,
KL_Avian_0000052,62264,t0057565,accepted,Animalia,Actitis hypoleucos,Actitis hypoleucos,species,磯鷸,,
KL_Avian_0000054,90841,t0028351,accepted,Animalia,Tringa brevipes,Tringa brevipes,species,黃足鷸,,
KL_Avian_0000056,90847,t0047944,accepted,Animalia,Tringa nebularia,Tringa nebularia,species,青足鷸,,
