taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_BenthicInvertebrate_0000034,2014-00-00_無脊椎動物調查_01,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Coenobita rugosus,species,皺紋陸寄居蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000036,2014-00-00_無脊椎動物調查_02,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Grapsus tenuicrustatus,species,細紋方蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000037,2014-00-00_無脊椎動物調查_03,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Grapsus albolineatus,species,白紋方蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000039,2014-00-00_無脊椎動物調查_04,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Epixanthus frontalis,species,平額石扇蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000040,2014-00-00_無脊椎動物調查_05,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Metopograpsus thukuhar,species,方形大額蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000041,2014-00-00_無脊椎動物調查_06,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Pachygrapsus minutus,species,小厚紋蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000043,2014-00-00_無脊椎動物調查_07,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Cyclograpsus intermedius,species,中型圓方蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000044,2014-00-00_無脊椎動物調查_08,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Plagusia squamosa,species,鱗形斜紋蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000047,2014-00-00_無脊椎動物調查_09,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Eriphia ferox,species,兇猛酋婦蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000048,2014-00-00_無脊椎動物調查_10,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Eriphia sebana,species,光手酋婦蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000059,2014-00-00_無脊椎動物調查_11,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Leptodius sanguineus,species,肉球皺蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000064,2014-00-00_無脊椎動物調查_12,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Ozius tuberculosus,species,疣粒團扇蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000065,2014-00-00_無脊椎動物調查_13,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Epigrapsus notatus,species,橙螯隱蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000066,2014-00-00_無脊椎動物調查_14,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gecarcoidea lalandii,species,紫地蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000067,2014-00-00_無脊椎動物調查_15,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Metasesarma obesum,species,肥胖後相手蟹,1,,WGS84,122.105349,25.484834,0.000001,400,陳淯茜,,,,,,,,,台灣生態學會電子報,,2014-00-00
KL_BenthicInvertebrate_0000034,2017-00-00_無脊椎動物調查_01,2017,2017,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Coenobita rugosus,species,皺紋陸寄居蟹,1,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,2017-00-00
