taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Cetacean_0000001,2019-08-22_Cetacean_HumanObservation_0001,2019/8/22,2019,8,22,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,9,individuals,8~10,able to georeference,WGS84,122.08721,25.4006,0.000001,,台灣休閒漁業發展協會,,,,,,,,,2019年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2019/8/22
KL_Cetacean_0000001,2019-11-12_Cetacean_HumanObservation_0002,2019/11/12,2019,11,12,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,2,individuals,2隻以上,able to georeference,WGS84,121.88797,25.20266,0.000001,,台灣休閒漁業發展協會,,,,,,,,,2019年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2019/11/12
KL_Cetacean_0000005,2020-06-08_Cetacean_HumanObservation_0003,2020/6/8,2020,6,8,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Pseudorca crassidens,species,偽虎鯨,7,individuals,7,able to georeference,WGS84,121.94,25.39888,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/6/8
KL_Cetacean_0000001,2020-07-03_Cetacean_HumanObservation_0004,2020/7/3,2020,7,3,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,10,individuals,10,able to georeference,WGS84,121.92718,25.33023,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/7/3
KL_Cetacean_0000004,2020-08-19_Cetacean_HumanObservation_0005,2020/8/19,2020,8,19,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus capensis,species,長吻真海豚,20,individuals,20,able to georeference,WGS84,121.81043,25.23201,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/8/19
KL_Cetacean_0000001,2020-09-14_Cetacean_HumanObservation_0007,2020/9/14,2020,9,14,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,2,individuals,2,able to georeference,WGS84,122.01276,25.41195,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/9/14
KL_Cetacean_0000001,2020-09-14_Cetacean_HumanObservation_0008,2020/9/14,2020,9,14,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,3,individuals,3,able to georeference,WGS84,122.0328,25.43276,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/9/14
KL_Cetacean_0000001,2020-09-14_Cetacean_HumanObservation_0009,2020/9/14,2020,9,14,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,10,individuals,10,able to georeference,WGS84,121.98433,25.50951,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/9/14
KL_Cetacean_0000004,2020-09-14_Cetacean_HumanObservation_0006,2020/9/14,2020,9,14,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus capensis,species,長吻真海豚,15,individuals,15,able to georeference,WGS84,121.79343,25.21385,0.000001,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,{mother-calf pairs:null},2020/9/14
KL_Cetacean_0000001,2021-03-30_Cetacean_HumanObservation_0010,2021/3/30,2021,3,30,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,9,individuals,9,able to georeference,WGS84,122.11654,25.48373,0.000001,,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,{mother-calf pairs:null},2021/3/30
