taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate,minimumDepthInMeters,maximumDepthInMeters
KL_Fish_0000002,2011-00-00_Fish_潛水調查_0001,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Taeniura meyeni,species,邁氏擬條尾魟,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000006,2011-00-00_Fish_潛水調查_0002,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Echidna nebulosa,species,星帶蝮鯙,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000008,2011-00-00_Fish_潛水調查_0003,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Aulostomus chinensis,species,中華管口魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000015,2011-00-00_Fish_潛水調查_0004,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Amphiprion clarkii,species,克氏海葵魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000018,2011-00-00_Fish_潛水調查_0005,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chromis analis,species,長臀光鰓雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000021,2011-00-00_Fish_潛水調查_0006,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chromis margaritifer,species,雙斑光鰓雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000022,2011-00-00_Fish_潛水調查_0007,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chromis notata,species,斑鰭光鰓雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000023,2011-00-00_Fish_潛水調查_0008,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chromis weberi,species,魏氏光鰓雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000026,2011-00-00_Fish_潛水調查_0009,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chrysiptera tricincta,species,三斑刻齒雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000028,2011-00-00_Fish_潛水調查_0010,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Dascyllus trimaculatus,species,三斑圓雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
