taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Plant_0000001,1994-00-00_棉花嶼_植物_全島_0001,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Cyrtomium falcatum,species,全緣貫眾蕨,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000002,1994-00-00_棉花嶼_植物_全島_0002,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Pteris fauriei var. fauriei,varietas,傅氏鳳尾蕨,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000006,1994-00-00_棉花嶼_植物_全島_0003,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Tetragonia tetragonoides,species,番杏,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000007,1994-00-00_棉花嶼_植物_全島_0004,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Sagina japonica,species,瓜槌草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000009,1994-00-00_棉花嶼_植物_全島_0005,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Persicaria chinensis,species,火炭母草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000010,1994-00-00_棉花嶼_植物_全島_0006,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Rumex crispus,species,羊蹄,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000012,1994-00-00_棉花嶼_植物_全島_0007,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Boerhavia diffusa,species,黃細心,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000014,1994-00-00_棉花嶼_植物_全島_0008,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Portulaca oleracea,species,馬齒莧,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000015,1994-00-00_棉花嶼_植物_全島_0009,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Portulaca pilosa,species,毛馬齒莧,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000016,1994-00-00_棉花嶼_植物_全島_0010,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Chenopodium acuminatum,species,變葉藜,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000017,1994-00-00_棉花嶼_植物_全島_0011,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Chenopodium ambrosioides,species,臭莧,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000018,1994-00-00_棉花嶼_植物_全島_0012,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Suaeda maritima,species,裸花鹼蓬,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000019,1994-00-00_棉花嶼_植物_全島_0013,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Sedum formosanum,species,台灣佛甲草（石板菜）,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000020,1994-00-00_棉花嶼_植物_全島_0014,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Oxalis corniculata,species,酢漿草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000021,1994-00-00_棉花嶼_植物_全島_0015,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Centella asiatica,species,雷公根,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000023,1994-00-00_棉花嶼_植物_全島_0016,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Lysimachia mauritiana,species,茅毛珍珠菜,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000024,1994-00-00_棉花嶼_植物_全島_0017,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Hedyotis strigulosa,species,脈耳草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000027,1994-00-00_棉花嶼_植物_全島_0018,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Dichondra micrantha,species,馬蹄金,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000028,1994-00-00_棉花嶼_植物_全島_0019,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Ipomoea obscura,species,馬鞍藤,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000030,1994-00-00_棉花嶼_植物_全島_0020,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Leonurus japonicus,species,益母草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000034,1994-00-00_棉花嶼_植物_全島_0021,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Scaevola sericea,species,草海桐,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000040,1994-00-00_棉花嶼_植物_全島_0022,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Crossostephium chinense,species,蘄艾,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000041,1994-00-00_棉花嶼_植物_全島_0023,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Emilia sonchifolia,species,紫背草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000043,1994-00-00_棉花嶼_植物_全島_0024,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gnaphalium affine,species,鼠麴草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000045,1994-00-00_棉花嶼_植物_全島_0025,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gnaphalium purpureum,species,鼠麴舅,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000062,1994-00-00_棉花嶼_植物_全島_0026,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Fimbristylis cymosa,species,乾溝飄拂草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000064,1994-00-00_棉花嶼_植物_全島_0027,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Cyperus serotinus,species,水莎草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000066,1994-00-00_棉花嶼_植物_全島_0028,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Brachiaria villosa,species,毛臂形草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000068,1994-00-00_棉花嶼_植物_全島_0029,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Digitaria fauriei,species,佛歐里馬唐,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000072,1994-00-00_棉花嶼_植物_全島_0030,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Digitaria mollicoma,species,絨馬唐,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000082,1994-00-00_棉花嶼_植物_全島_0031,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Eleusine indica,species,牛筋草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000083,1994-00-00_棉花嶼_植物_全島_0032,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Setaria geniculata,species,莠狗尾草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000084,1994-00-00_棉花嶼_植物_全島_0033,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Setaria viridis,species,狗尾草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000085,1994-00-00_棉花嶼_植物_全島_0034,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Lepturus repens,species,細穗草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000086,1994-00-00_棉花嶼_植物_全島_0035,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Zoysia japonica,species,日本芝,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000088,1994-00-00_棉花嶼_植物_全島_0036,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Zoysia tenuifolia,species,高麗芝,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Plant_0000001,1997-00-00_棉花嶼_植物_全島_0037,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Cyrtomium falcatum,species,全緣貫眾蕨,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000002,1997-00-00_棉花嶼_植物_全島_0038,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Pteris fauriei var. fauriei,varietas,傅氏鳳尾蕨,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000006,1997-00-00_棉花嶼_植物_全島_0039,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Tetragonia tetragonoides,species,番杏,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000007,1997-00-00_棉花嶼_植物_全島_0040,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Sagina japonica,species,瓜槌草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000009,1997-00-00_棉花嶼_植物_全島_0041,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Persicaria chinensis,species,火炭母草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000010,1997-00-00_棉花嶼_植物_全島_0042,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Rumex crispus,species,羊蹄,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000012,1997-00-00_棉花嶼_植物_全島_0043,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Boerhavia diffusa,species,黃細心,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000014,1997-00-00_棉花嶼_植物_全島_0044,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Portulaca oleracea,species,馬齒莧,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000015,1997-00-00_棉花嶼_植物_全島_0045,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Portulaca pilosa,species,毛馬齒莧,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000016,1997-00-00_棉花嶼_植物_全島_0046,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Chenopodium acuminatum,species,變葉藜,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000019,1997-00-00_棉花嶼_植物_全島_0047,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Sedum formosanum,species,台灣佛甲草（石板菜）,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000020,1997-00-00_棉花嶼_植物_全島_0048,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Oxalis corniculata,species,酢漿草,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000021,1997-00-00_棉花嶼_植物_全島_0049,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Centella asiatica,species,雷公根,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
KL_Plant_0000023,1997-00-00_棉花嶼_植物_全島_0050,1997,1997,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Lysimachia mauritiana,species,茅毛珍珠菜,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1997-00-00
