taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Reptile_0000001,1994-00-00_Reptile_HumanObservation_0001,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,2011年後各年基鳥報告多有提及,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.74,,1994-00-00
KL_Reptile_0000001,2008-00-00_Reptile_HumanObservation_0002,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,中華民國珊瑚礁學會,,,,,,,有發現成體及卵,,2008年北方三島自然資源調查計畫成果報告書 p.64、p.79,,2008-00-00
KL_Reptile_0000001,2009-00-00_Reptile_HumanObservation_0003,2009,2009,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,20,,,,,,,社團法人基隆市野鳥學會,,,,,,,2011年後各年基鳥報告多有提及,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.11,,2009-00-00
KL_Reptile_0000001,2010-00-00_Reptile_HumanObservation_0004,2010,2010,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,2011年後各年基鳥報告多有提及,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.11,,2010-00-00
KL_Reptile_0000001,2011-00-00_Reptile_HumanObservation_0005,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.74,,2011-00-00
KL_Reptile_0000001,2012-00-00_Reptile_HumanObservation_0006,2012,2012,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2012年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.71,,2012-00-00
KL_Reptile_0000001,2013-00-00_Reptile_HumanObservation_0007,2013,2013,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2013年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.72,,2013-00-00
KL_Reptile_0000001,2014-00-00_Reptile_HumanObservation_0008,2014,2014,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2014年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.73,,2014-00-00
KL_Reptile_0000001,2015-00-00_Reptile_HumanObservation_0009,2015,2015,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2015年棉花嶼、花瓶嶼野生動物保護區陸域生態調查委託案成果報告書 p.60,,2015-00-00
KL_Reptile_0000001,2016-00-00_Reptile_HumanObservation_0010,2016,2016,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2016年棉花嶼、花瓶嶼野生動物保護區陸域生態調查委託案報告書 p.53,,2016-00-00
KL_Reptile_0000001,2017-00-00_Reptile_HumanObservation_0011,2017,2017,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,有發現幼體,,2017年棉花嶼、瓶野生動物保護區態調查委託案報告書 p.55,,2017-00-00
KL_Reptile_0000001,2020-00-00_Reptile_HumanObservation_0012,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,社團法人基隆市野鳥學會,,,,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-00-00
KL_Reptile_0000002,2021-09-21_Reptile_HumanObservation_0013,2021-09-21,2021,9,21,,HumanObservation,Asia,Taiwan,棉花嶼周圍海域,,Laticauda semifasciata,species,闊帶青斑海蛇,1,able to georeference,WGS84,122.10386,25.4859,0.00001,1,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 ,,2021-09-21
KL_Reptile_0000003,2021-09-21_Reptile_HumanObservation_0014,2021-09-21,2021,9,21,,HumanObservation,Asia,Taiwan,基隆嶼至棉花嶼的海域,,Dermochelys coriacea,species,革龜,1,able to georeference,WGS84,121.86495,25.25164,0.00001,1,研海生態顧問股份有限公司,,,,,,,,,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 ,,2021-09-21
KL_Reptile_0000004,2022-06-04_Reptile_HumanObservation_0015,2022-06-04,2022,6,4,,HumanObservation,Asia,Taiwan,棉花嶼周圍海域,,Chelonia mydas,species,綠蠵龜,1,able to georeference,WGS84,122.11261,25.52014,0.00001,1,研海生態顧問股份有限公司,,,,,,,遭漁業垃圾纏繞,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2022-06-04
KL_Reptile_0000001,2022-07-26_Reptile_HumanObservation_0016,2022-07-26,2022,7,26,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,WGS84,122.105349,25.484834,0.000001,400,研海生態顧問股份有限公司,,,,,,,夜間,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2022-07-26
KL_Reptile_0000004,2022-09-30_Reptile_HumanObservation_0017,2022-09-30,2022,9,30,,HumanObservation,Asia,Taiwan,棉花嶼周圍海域,,Chelonia mydas,species,綠蠵龜,1,,,,,,,研海生態顧問股份有限公司,,,,,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2022-09-30
KL_Reptile_0000001,2023-04-11_Reptile_HumanObservation_0018,2023-04-11,2023,4,11,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,WGS84,122.105349,25.484834,0.000001,400,研海生態顧問股份有限公司,,,,,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告書,,2023-04-11
KL_Reptile_0000005,2023-04-11_Reptile_HumanObservation_0019,2023-04-11,2023,4,11,,HumanObservation,Asia,Taiwan,棉花嶼周圍海域,,Chelonia,genus,海龜屬,1,able to georeference,WGS84,122.101708,25.487353,0.000001,10,研海生態顧問股份有限公司,,,,,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告書,,2023-04-11
