taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Insect_0000002,1994-00-00_Insect_HumanObservation_000,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Zizeeria maha okinawana,subspecies,藍灰蝶,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Insect_0000073,1994-00-00_Insect_HumanObservation_001,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Nezara viridula,species,稻綠椿,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Insect_0000100,1994-00-00_Insect_HumanObservation_002,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Necrobia rufipes,species,赤足郭公蟲,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Insect_0000101,1994-00-00_Insect_HumanObservation_003,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Necrobia ruficollis,species,赤頸郭公蟲,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Insect_0000117,1994-00-00_Insect_HumanObservation_004,1994,1994,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Tetramorium nipponense,species,日本皺家蟻,,,WGS84,122.105349,25.484834,0.000001,400,社團法人基隆市野鳥學會,,,,,,,,,,,1994-00-00
KL_Insect_0000001,2008-00-00_Insect_HumanObservation_005,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Lampides boeticus,species,豆波灰蝶,,,WGS84,122.105349,25.484834,0.000001,400,中華民國珊瑚礁學會,,,,,,,,,,,2008-00-00
KL_Insect_0000002,2008-00-00_Insect_HumanObservation_006,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Zizeeria maha okinawana,subspecies,藍灰蝶,,,WGS84,122.105349,25.484834,0.000001,400,中華民國珊瑚礁學會,,,,,,,,,,,2008-00-00
KL_Insect_0000008,2008-00-00_Insect_HumanObservation_007,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Vanessa indica,species,大紅蛺蝶,,,WGS84,122.105349,25.484834,0.000001,400,中華民國珊瑚礁學會,,,,,,,,,,,2008-00-00
KL_Insect_0000020,2008-00-00_Insect_HumanObservation_008,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Spoladea recurvalis,species,甜菜白帶野螟,,,WGS84,122.105349,25.484834,0.000001,400,中華民國珊瑚礁學會,,,,,,,,,,,2008-00-00
KL_Insect_0000021,2008-00-00_Insect_HumanObservation_009,2008,2008,,,,HumanObservation,Asia,Taiwan,棉花嶼,,Pleuroptya chlorophanta,species,三條肋野螟蛾,,,WGS84,122.105349,25.484834,0.000001,400,中華民國珊瑚礁學會,,,,,,,,,,,2008-00-00
