taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,lifeStage,reproductiveCondition,behavior,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate,minimumDepthInMeters,maximumDepthInMeters
KL_Avian_0000065,1994-00-00_Avian_花瓶嶼_000001,1994,1994,0,0,,HumanObservation,Asia,Taiwan,花瓶嶼,,Onychoprion anaethetus,species,白眉燕鷗,1,,,,WGS84,121.946377,25.424142,1e-06,80.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000030,1994-00-00_Avian_棉花嶼_000007,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Himantopus himantopus,species,高蹺鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000032,1994-00-00_Avian_棉花嶼_000008,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Pluvialis fulva,species,太平洋金斑鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000033,1994-00-00_Avian_棉花嶼_000009,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius mongolus,species,蒙古鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000034,1994-00-00_Avian_棉花嶼_000010,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius leschenaultii,species,鐵嘴鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000036,1994-00-00_Avian_棉花嶼_000011,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius dubius,species,小環頸鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000037,1994-00-00_Avian_棉花嶼_000012,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius veredus,species,東方紅胸鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000043,1994-00-00_Avian_棉花嶼_000013,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Calidris acuminata,species,尖尾濱鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000027,1994-00-00_Avian_棉花嶼_000006,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Amaurornis phoenicurus,species,白腹秧雞,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000051,1994-00-00_Avian_棉花嶼_000014,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Phalaropus lobatus,species,紅領瓣足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000054,1994-00-00_Avian_棉花嶼_000016,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Tringa brevipes,species,黃足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000056,1994-00-00_Avian_棉花嶼_000017,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Tringa nebularia,species,青足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000064,1994-00-00_Avian_棉花嶼_000018,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Anous stolidus,species,玄燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000065,1994-00-00_Avian_棉花嶼_000019,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Onychoprion anaethetus,species,白眉燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000143,1994-00-00_Avian_棉花嶼_000039,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Acrocephalus orientalis,species,東方大葦鶯,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Insect_0000002,1994-00-00_Insect_HumanObservation_000,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Zizeeria maha okinawana,subspecies,藍灰蝶,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
