,id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,vitality,georeferenceVerificationStatus,associatedMedia,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,verbatimEventDate,samplingProtocol,continent,country,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,taxonID,scientificName,taxonRank,vernacularName
808,1994-00-00_Avian_棉花嶼_000079,HumanObservation,,1994-00-00_Avian_棉花嶼_000079,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,1994,,1994,,,1994-00-00,,Asia,Taiwan,棉花嶼,,,25.484834,122.105349,WGS84,400.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
752,1994-00-00_Avian_棉花嶼_000023,HumanObservation,,1994-00-00_Avian_棉花嶼_000023,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,1994,,1994,,,1994-00-00,,Asia,Taiwan,棉花嶼,,,25.484834,122.105349,WGS84,400.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
1665,2008-00-00_Avian_彭佳嶼_000121,HumanObservation,,2008-00-00_Avian_彭佳嶼_000121,中華民國珊瑚礁學會,1.0,,,,,,,,,nan,,,2008,,2008,,,2008-00-00,,Asia,Taiwan,彭佳嶼,,,25.628489,122.078981,WGS84,800.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
2371,2009-00-00_Avian_基隆海域_000011,HumanObservation,,2009-00-00_Avian_基隆海域_000011,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2009,,2009,,,2009-00-00,,Asia,Taiwan,基隆海域,,,25.379257,121.964444,WGS84,35000.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
991,2010-00-00_Avian_棉花嶼_000262,HumanObservation,,2010-00-00_Avian_棉花嶼_000262,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2010,,2010,,,2010-00-00,,Asia,Taiwan,棉花嶼,,,25.484834,122.105349,WGS84,400.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
2385,2010-00-00_Avian_基隆海域_000025,HumanObservation,,2010-00-00_Avian_基隆海域_000025,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2010,,2010,,,2010-00-00,,Asia,Taiwan,基隆海域,,,25.379257,121.964444,WGS84,35000.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
1041,2011-00-00_Avian_棉花嶼_000312,HumanObservation,,2011-00-00_Avian_棉花嶼_000312,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2011,,2011,,,2011-00-00,,Asia,Taiwan,棉花嶼,,,25.484834,122.105349,WGS84,400.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
2398,2011-00-00_Avian_基隆海域_000038,HumanObservation,,2011-00-00_Avian_基隆海域_000038,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2011,,2011,,,2011-00-00,,Asia,Taiwan,基隆海域,,,25.379257,121.964444,WGS84,35000.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
2414,2012-00-00_Avian_基隆海域_000054,HumanObservation,,2012-00-00_Avian_基隆海域_000054,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2012,,2012,,,2012-00-00,,Asia,Taiwan,基隆海域,,,25.379257,121.964444,WGS84,35000.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
1075,2012-00-00_Avian_棉花嶼_000346,HumanObservation,,2012-00-00_Avian_棉花嶼_000346,社團法人基隆市野鳥學會,1.0,,,,,,,,,nan,,,2012,,2012,,,2012-00-00,,Asia,Taiwan,棉花嶼,,,25.484834,122.105349,WGS84,400.0,1e-06,KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥
