id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
2020-00-00_Algae_Survey_0001,HumanObservation,,2020-00-00_Algae_Survey_0001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Caulerpa racemosa,,KL_Algae_0000001,54868,t0073097,Caulerpa racemosa,Plantae,species,總狀蕨藻,accepted,
2020-00-00_Algae_Survey_0002,HumanObservation,,2020-00-00_Algae_Survey_0002,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Pyropia,,KL_Algae_0000002,2364,t0024660,Pyropia,Plantae,genus,紫菜屬,accepted,
2020-00-00_Algae_Survey_0003,HumanObservation,,2020-00-00_Algae_Survey_0003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Asparagopsis taxiformis,,KL_Algae_0000003,54240,t0040285,Asparagopsis taxiformis,Plantae,species,蘆筍藻,accepted,
2020-00-00_Algae_Survey_0004,HumanObservation,,2020-00-00_Algae_Survey_0004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Mastophora rosea,,KL_Algae_0000004,57808,t0058510,Mastophora rosea,Plantae,species,寬珊藻,accepted,
2020-00-00_Algae_Survey_0005,HumanObservation,,2020-00-00_Algae_Survey_0005,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Dudresnaya japonica,,KL_Algae_0000005,56044,t0073765,Dudresnaya japonica,Plantae,species,日本杜蠕藻,accepted,
2020-00-00_Algae_Survey_0006,HumanObservation,,2020-00-00_Algae_Survey_0006,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chondrus,,KL_Algae_0000006,996,t0023476,Chondrus,Plantae,genus,角叉菜屬,accepted,
2020-00-00_Algae_Survey_0007,HumanObservation,,2020-00-00_Algae_Survey_0007,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Halymenia floresia,,KL_Algae_0000007,,,Halymenia floresia,Plantae,species,海膜,invalid,
2020-00-00_Algae_Survey_0008,HumanObservation,,2020-00-00_Algae_Survey_0008,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Hypnea pannosa,,KL_Algae_0000008,57122,t0074355,Hypnea pannosa,Plantae,species,巢沙菜,accepted,
2020-00-00_Algae_Survey_0009,HumanObservation,,2020-00-00_Algae_Survey_0009,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Valoniopsis pachynema,,KL_Algae_0000009,60627,t0057474,Valoniopsis pachynema,Plantae,species,指枝藻,accepted,
2020-00-00_Algae_Survey_0010,HumanObservation,,2020-00-00_Algae_Survey_0010,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2020,,2020,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Ulva pertusa,,KL_Algae_0000010,60594,t0069735,Ulva pertusa,Plantae,species,孔石蓴,accepted,
