id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
1994-00-00_Avian_Huaping Islet_000001,HumanObservation,,1994-00-00_Avian_Huaping Islet_000001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Route Survey,Asia,Taiwan,TW,Huaping Islet,,,25.42414,121.94638,EPSG:4326,80,1e-05,Onychoprion anaethetus,,KL_Avian_0000065,58309,t0098159,Onychoprion anaethetus,Animalia,species,白眉燕鷗,accepted,
1994-00-00_Avian_Huaping Islet_000002,HumanObservation,,1994-00-00_Avian_Huaping Islet_000002,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Route Survey,Asia,Taiwan,TW,Huaping Islet,,,25.42414,121.94638,EPSG:4326,80,1e-05,Thalasseus bergii,,KL_Avian_0000074,60330,t0098966,Thalasseus bergii,Animalia,species,鳳頭燕鷗,accepted,
1994-00-00_Avian_Huaping Islet_000003,HumanObservation,,1994-00-00_Avian_Huaping Islet_000003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Route Survey,Asia,Taiwan,TW,Huaping Islet,,,25.42414,121.94638,EPSG:4326,80,1e-05,Sula leucogaster,,KL_Avian_0000085,60111,t0099005,Sula leucogaster,Animalia,species,白腹鰹鳥,accepted,
1994-00-00_Avian_Huaping Islet_000004,HumanObservation,,1994-00-00_Avian_Huaping Islet_000004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Route Survey,Asia,Taiwan,TW,Huaping Islet,,,25.42414,121.94638,EPSG:4326,80,1e-05,Falco peregrinus,,KL_Avian_0000126,56374,t0097037,Falco peregrinus,Animalia,species,遊隼,accepted,
1994-00-00_Avian_Mianhua Islet_000001,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Columba janthina,,KL_Avian_0000011,55395,t0097759,Columba janthina,Animalia,species,黑林鴿,accepted,
1994-00-00_Avian_Mianhua Islet_000002,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000002,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Streptopelia orientalis,,KL_Avian_0000012,60075,t0098989,Streptopelia orientalis,Animalia,species,金背鳩,accepted,
1994-00-00_Avian_Mianhua Islet_000003,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Hirundapus caudacutus,,KL_Avian_0000021,56990,t0097274,Hirundapus caudacutus,Animalia,species,白喉針尾雨燕,accepted,
1994-00-00_Avian_Mianhua Islet_000004,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Apus pacificus,,KL_Avian_0000023,54155,t0100084,Apus pacificus,Animalia,species,叉尾雨燕,accepted,
1994-00-00_Avian_Mianhua Islet_000005,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000005,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Apus nipalensis,,KL_Avian_0000024,54154,t0100083,Apus nipalensis,Animalia,species,小雨燕,accepted,
1994-00-00_Avian_Mianhua Islet_000006,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000006,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Amaurornis phoenicurus,,KL_Avian_0000027,53982,t0099934,Amaurornis phoenicurus,Animalia,species,白腹秧雞,accepted,
1994-00-00_Avian_Mianhua Islet_000007,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000007,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Himantopus himantopus,,KL_Avian_0000030,74891,t0029682,Himantopus himantopus,Animalia,species,高蹺鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000008,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000008,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Pluvialis fulva,,KL_Avian_0000032,84631,t0036267,Pluvialis fulva,Animalia,species,太平洋金斑鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000009,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000009,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Anarhynchus mongolus,,KL_Avian_0000033,263839,t0097638,Anarhynchus mongolus,Animalia,species,蒙古鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000010,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000010,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Charadrius leschenaultii,,KL_Avian_0000034,55024,t0097637,Charadrius leschenaultii,Animalia,species,鐵嘴鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000011,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000011,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Charadrius dubius,,KL_Avian_0000036,55022,t0097635,Charadrius dubius,Animalia,species,小環頸鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000012,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000012,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Charadrius veredus,,KL_Avian_0000037,67236,t0077978,Charadrius veredus,Animalia,species,東方紅胸鴴,accepted,
1994-00-00_Avian_Mianhua Islet_000013,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000013,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Calidris acuminata,,KL_Avian_0000043,66195,t0077065,Calidris acuminata,Animalia,species,尖尾濱鷸,accepted,
1994-00-00_Avian_Mianhua Islet_000014,HumanObservation,,1994-00-00_Avian_Mianhua Islet_000014,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,,,1994,,1994,,,Point Count Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Phalaropus lobatus,,KL_Avian_0000051,83524,t0031788,Phalaropus lobatus,Animalia,species,紅領瓣足鷸,accepted,
