id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
2014-00-00_BenthicInvertebrate_01,HumanObservation,,2014-00-00_BenthicInvertebrate_01,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Coenobita rugosus,,KL_BenthicInvertebrate_0000034,68321,t0078926,Coenobita rugosus,Animalia,species,皺紋陸寄居蟹,accepted,
2014-00-00_BenthicInvertebrate_02,HumanObservation,,2014-00-00_BenthicInvertebrate_02,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Grapsus tenuicrustatus,,KL_BenthicInvertebrate_0000036,74013,t0064842,Grapsus tenuicrustatus,Animalia,species,細紋方蟹,accepted,
2014-00-00_BenthicInvertebrate_03,HumanObservation,,2014-00-00_BenthicInvertebrate_03,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Grapsus albolineatus,,KL_BenthicInvertebrate_0000037,74010,t0029403,Grapsus albolineatus,Animalia,species,白紋方蟹,accepted,
2014-00-00_BenthicInvertebrate_04,HumanObservation,,2014-00-00_BenthicInvertebrate_04,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Epixanthus frontalis,,KL_BenthicInvertebrate_0000039,71968,t0062989,Epixanthus frontalis,Animalia,species,平額石扇蟹,accepted,
2014-00-00_BenthicInvertebrate_05,HumanObservation,,2014-00-00_BenthicInvertebrate_05,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Metopograpsus thukuhar,,KL_BenthicInvertebrate_0000040,79073,t0027966,Metopograpsus thukuhar,Animalia,species,方形大額蟹,accepted,土夸大額蟹 | 平分大額蟹
2014-00-00_BenthicInvertebrate_06,HumanObservation,,2014-00-00_BenthicInvertebrate_06,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Pachygrapsus minutus,,KL_BenthicInvertebrate_0000041,82139,t0082709,Pachygrapsus minutus,Animalia,species,小厚紋蟹,accepted,
2014-00-00_BenthicInvertebrate_07,HumanObservation,,2014-00-00_BenthicInvertebrate_07,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Cyclograpsus intermedius,,KL_BenthicInvertebrate_0000043,69459,t0079952,Cyclograpsus intermedius,Animalia,species,中型圓方蟹,accepted,
2014-00-00_BenthicInvertebrate_08,HumanObservation,,2014-00-00_BenthicInvertebrate_08,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Plagusia squamosa,,KL_BenthicInvertebrate_0000044,84278,t0031945,Plagusia squamosa,Animalia,species,鱗形斜紋蟹,accepted,瘤突斜紋蟹 | 礁扁 | 白底仔
2014-00-00_BenthicInvertebrate_09,HumanObservation,,2014-00-00_BenthicInvertebrate_09,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Eriphia ferox,,KL_BenthicInvertebrate_0000047,72089,t0063105,Eriphia ferox,Animalia,species,兇猛酋婦蟹,accepted,凶猛酋婦蟹 | 司氏酋婦蟹
2014-00-00_BenthicInvertebrate_10,HumanObservation,,2014-00-00_BenthicInvertebrate_10,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Eriphia sebana,,KL_BenthicInvertebrate_0000048,72091,t0029012,Eriphia sebana,Animalia,species,光手酋婦蟹,accepted,
2014-00-00_BenthicInvertebrate_11,HumanObservation,,2014-00-00_BenthicInvertebrate_11,陳淯茜 (Chen Yu-Chien),1,,,,,,台灣生態學會電子報,,2014,,2014,,,Intertidal Visual Encounter Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10272,EPSG:4326,800,1e-05,Leptodius sanguineus,,KL_BenthicInvertebrate_0000059,76752,t0067194,Leptodius sanguineus,Animalia,species,肉球皺蟹,accepted,
