id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
2019-08-22_Cetacean_HumanObservation_0001,HumanObservation,,2019-08-22_Cetacean_HumanObservation_0001,台灣休閒漁業發展協會 (Taiwan Leisure Fishery Development Association),9,8~10,individuals,,,able to georeference,2019年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2019-08-22,,2019,8,22,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.4006,122.08721,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2019-11-12_Cetacean_HumanObservation_0002,HumanObservation,,2019-11-12_Cetacean_HumanObservation_0002,台灣休閒漁業發展協會 (Taiwan Leisure Fishery Development Association),2,≥2,individuals,,,able to georeference,2019年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2019-11-12,,2019,11,12,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.20266,121.88797,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2020-06-08_Cetacean_HumanObservation_0003,HumanObservation,,2020-06-08_Cetacean_HumanObservation_0003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),7,7,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-06-08,,2020,6,8,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.39888,121.94,EPSG:4326,4000,1e-05,Pseudorca crassidens,,KL_Cetacean_0000005,85595,t0037124,Pseudorca crassidens,Animalia,species,偽虎鯨,accepted,
2020-07-03_Cetacean_HumanObservation_0004,HumanObservation,,2020-07-03_Cetacean_HumanObservation_0004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),10,10,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-07-03,,2020,7,3,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.33023,121.92718,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2020-08-19_Cetacean_HumanObservation_0005,HumanObservation,,2020-08-19_Cetacean_HumanObservation_0005,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),20,20,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-08-19,,2020,8,19,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.23201,121.81043,EPSG:4326,4000,1e-05,Delphinus capensis,,KL_Cetacean_0000004,69991,t0061221,Delphinus capensis,Animalia,species,長吻真海豚,accepted,
2020-09-14_Cetacean_HumanObservation_0006,HumanObservation,,2020-09-14_Cetacean_HumanObservation_0006,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),15,15,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-09-14,,2020,9,14,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.21385,121.79343,EPSG:4326,4000,1e-05,Delphinus capensis,,KL_Cetacean_0000004,69991,t0061221,Delphinus capensis,Animalia,species,長吻真海豚,accepted,
2020-09-14_Cetacean_HumanObservation_0007,HumanObservation,,2020-09-14_Cetacean_HumanObservation_0007,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),2,2,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-09-14,,2020,9,14,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.41195,122.01276,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2020-09-14_Cetacean_HumanObservation_0008,HumanObservation,,2020-09-14_Cetacean_HumanObservation_0008,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),3,3,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-09-14,,2020,9,14,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.43276,122.0328,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2020-09-14_Cetacean_HumanObservation_0009,HumanObservation,,2020-09-14_Cetacean_HumanObservation_0009,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),10,10,individuals,,,able to georeference,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020-09-14,,2020,9,14,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.50951,121.98433,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2021-03-30_Cetacean_HumanObservation_0010,HumanObservation,,2021-03-30_Cetacean_HumanObservation_0010,研海生態顧問股份有限公司 (Ceta explorers Company Limited),9,9,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-03-30,11:06:00,2021,3,30,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.48373,122.11654,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2021-07-11_Cetacean_HumanObservation_0011,HumanObservation,,2021-07-11_Cetacean_HumanObservation_0011,研海生態顧問股份有限公司 (Ceta explorers Company Limited),20,≈20,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-07-11,06:15:00,2021,7,11,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.20195,121.81463,EPSG:4326,300,1e-05,Delphinus,,KL_Cetacean_0000003,9454,t0018482,Delphinus,Animalia,genus,真海豚屬,accepted,海豚屬
2021-07-11_Cetacean_HumanObservation_0012,HumanObservation,,2021-07-11_Cetacean_HumanObservation_0012,研海生態顧問股份有限公司 (Ceta explorers Company Limited),10,≈10,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-07-11,09:34:00,2021,7,11,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.48373,122.11654,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2021-07-11_Cetacean_HumanObservation_0013,HumanObservation,,2021-07-11_Cetacean_HumanObservation_0013,研海生態顧問股份有限公司 (Ceta explorers Company Limited),10,≈10,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-07-11,14:22:00,2021,7,11,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.34627,121.90882,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2021-08-26_Cetacean_HumanObservation_0014,HumanObservation,,2021-08-26_Cetacean_HumanObservation_0014,研海生態顧問股份有限公司 (Ceta explorers Company Limited),100,≥100,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-08-26,11:08:00,2021,8,26,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.19192,121.80567,EPSG:4326,1000,1e-05,Delphinus,,KL_Cetacean_0000003,9454,t0018482,Delphinus,Animalia,genus,真海豚屬,accepted,海豚屬
2021-08-26_Cetacean_HumanObservation_0015,HumanObservation,,2021-08-26_Cetacean_HumanObservation_0015,研海生態顧問股份有限公司 (Ceta explorers Company Limited),40,≈40,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-08-26,11:31:00,2021,8,26,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.2078,121.80652,EPSG:4326,4000,1e-05,Delphinus,,KL_Cetacean_0000003,9454,t0018482,Delphinus,Animalia,genus,真海豚屬,accepted,海豚屬
2021-09-21_Cetacean_HumanObservation_0016,HumanObservation,,2021-09-21_Cetacean_HumanObservation_0016,研海生態顧問股份有限公司 (Ceta explorers Company Limited),4,4~5,individuals,,,able to georeference,2021年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書,,2021-09-21,07:21:00,2021,9,21,Route Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.33974,121.95302,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
