id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
2011-00-00_Fish_Underwater Visual Census_0001,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0001,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Taeniurops meyeni,,KL_Fish_0000002,37955,t0033225,Taeniurops meyeni,Animalia,species,邁氏擬條尾魟,accepted,
2011-00-00_Fish_Underwater Visual Census_0002,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0002,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Echidna nebulosa,,KL_Fish_0000006,36174,t0028785,Echidna nebulosa,Animalia,species,星帶蝮鯙,accepted,
2011-00-00_Fish_Underwater Visual Census_0003,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0003,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Aulostomus chinensis,,KL_Fish_0000008,35606,t0057010,Aulostomus chinensis,Animalia,species,中華管口魚,accepted,
2011-00-00_Fish_Underwater Visual Census_0004,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0004,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Amphiprion clarkii,,KL_Fish_0000015,35478,t0056891,Amphiprion clarkii,Animalia,species,克氏海葵魚,accepted,克氏雙鋸魚 | 小丑魚
2011-00-00_Fish_Underwater Visual Census_0005,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0005,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chromis analis,,KL_Fish_0000018,35927,t0030461,Chromis analis,Animalia,species,長臀光鰓雀鯛,accepted,
2011-00-00_Fish_Underwater Visual Census_0006,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0006,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chromis margaritifer,,KL_Fish_0000021,27992,t0050308,Chromis margaritifer,Animalia,species,雙斑光鰓雀鯛,accepted,
2011-00-00_Fish_Underwater Visual Census_0007,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0007,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chromis notata,,KL_Fish_0000022,35931,t0030468,Chromis notata,Animalia,species,斑鰭光鰓雀鯛,accepted,尾斑光鰓雀鯛 | 厚殼仔 | 尾斑光鰓魚 | 藍雀
2011-00-00_Fish_Underwater Visual Census_0008,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0008,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chromis weberi,,KL_Fish_0000023,27999,t0050312,Chromis weberi,Animalia,species,魏氏光鰓雀鯛,accepted,
2011-00-00_Fish_Underwater Visual Census_0009,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0009,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Chrysiptera tricincta,,KL_Fish_0000026,35944,t0030484,Chrysiptera tricincta,Animalia,species,三斑刻齒雀鯛,accepted,三帶刻齒雀鯛 | 厚殼仔 | 三帶金翅雀鯛
2011-00-00_Fish_Underwater Visual Census_0010,HumanObservation,,2011-00-00_Fish_Underwater Visual Census_0010,國立臺灣海洋大學 (National Taiwan Ocean University),1,,,,,,,,2011,,2011,,,Underwater Visual Census Line Transect (30 m * 5 m),Asia,Taiwan,TW,waters surrounding Mianhua Islet,,,25.48483,122.10272,EPSG:4326,1000,1e-05,Dascyllus trimaculatus,,KL_Fish_0000028,36082,t0030903,Dascyllus trimaculatus,Animalia,species,三斑圓雀鯛,accepted,
