id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
1994-00-00_Insect_HumanObservation_000,HumanObservation,,1994-00-00_Insect_HumanObservation_000,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Zizeeria maha okinawana,,KL_Insect_0000002,35344,t0085052,Zizeeria maha okinawana,Animalia,subspecies,沖繩小灰蝶,accepted,毛眼灰蝶 | 柞灰蝶 | 酢醬灰蝶 | 小型小灰蝶 | 大和小灰蝶 | 藍灰蝶
1994-00-00_Insect_HumanObservation_001,HumanObservation,,1994-00-00_Insect_HumanObservation_001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Nezara viridula,,KL_Insect_0000073,80891,t0031136,Nezara viridula,Animalia,species,稻綠蝽,accepted,
1994-00-00_Insect_HumanObservation_002,HumanObservation,,1994-00-00_Insect_HumanObservation_002,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Necrobia rufipes,,KL_Insect_0000100,80269,t0081056,Necrobia rufipes,Animalia,species,赤足郭公蟲,accepted,
1994-00-00_Insect_HumanObservation_003,HumanObservation,,1994-00-00_Insect_HumanObservation_003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Necrobia ruficollis,,KL_Insect_0000101,80268,t0081055,Necrobia ruficollis,Animalia,species,赤頸郭公蟲,accepted,雙色琉璃郭公蟲
1994-00-00_Insect_HumanObservation_004,HumanObservation,,1994-00-00_Insect_HumanObservation_004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Tetramorium nipponense,,KL_Insect_0000117,89891,t0047093,Tetramorium nipponense,Animalia,species,日本皺家蟻,accepted,
2008-00-00_Insect_HumanObservation_005,HumanObservation,,2008-00-00_Insect_HumanObservation_005,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Lampides boeticus,,KL_Insect_0000001,36747,t0027297,Lampides boeticus,Animalia,species,豆波灰蝶,accepted,
2008-00-00_Insect_HumanObservation_006,HumanObservation,,2008-00-00_Insect_HumanObservation_006,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Zizeeria maha okinawana,,KL_Insect_0000002,35344,t0085052,Zizeeria maha okinawana,Animalia,subspecies,沖繩小灰蝶,accepted,毛眼灰蝶 | 柞灰蝶 | 酢醬灰蝶 | 小型小灰蝶 | 大和小灰蝶 | 藍灰蝶
2008-00-00_Insect_HumanObservation_007,HumanObservation,,2008-00-00_Insect_HumanObservation_007,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Vanessa indica,,KL_Insect_0000008,34556,t0056704,Vanessa indica,Animalia,species,大紅蛺蝶,accepted,
2008-00-00_Insect_HumanObservation_008,HumanObservation,,2008-00-00_Insect_HumanObservation_008,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Spoladea recurvalis,,KL_Insect_0000020,37877,t0033008,Spoladea recurvalis,Animalia,species,甜菜白帶野螟,accepted,甜菜白帶野螟蛾
2008-00-00_Insect_HumanObservation_009,HumanObservation,,2008-00-00_Insect_HumanObservation_009,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Patania chlorophanta,,KL_Insect_0000021,37357,t0031657,Patania chlorophanta,Animalia,species,三條肋野螟蛾,accepted,
2008-00-00_Insect_HumanObservation_010,HumanObservation,,2008-00-00_Insect_HumanObservation_010,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Sterrhinae,,KL_Insect_0000038,287189,t0135221,Sterrhinae,Animalia,subfamily,姬尺蛾亞科,accepted,
2008-00-00_Insect_HumanObservation_011,HumanObservation,,2008-00-00_Insect_HumanObservation_011,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Earias cupreoviridis,,KL_Insect_0000042,28773,t0050718,Earias cupreoviridis,Animalia,species,鼎點鑽瘤蛾,accepted,
2008-00-00_Insect_HumanObservation_012,HumanObservation,,2008-00-00_Insect_HumanObservation_012,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Pantala flavescens,,KL_Insect_0000048,82387,t0082932,Pantala flavescens,Animalia,species,薄翅蜻蜓,accepted,
2008-00-00_Insect_HumanObservation_013,HumanObservation,,2008-00-00_Insect_HumanObservation_013,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Copera marginipes,,KL_Insect_0000051,68699,t0079261,Copera marginipes,Animalia,species,脛蹼琵蟌,accepted,
2008-00-00_Insect_HumanObservation_014,HumanObservation,,2008-00-00_Insect_HumanObservation_014,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Oncocephalus assimilis,,KL_Insect_0000076,81573,t0082211,Oncocephalus assimilis,Animalia,species,黑斑褐獵椿象,accepted,
2008-00-00_Insect_HumanObservation_015,HumanObservation,,2008-00-00_Insect_HumanObservation_015,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),,,,,,,,,2008,,2008,,,Line Transect Survey | Aerial Netting | Host Plant Recognition | Hand Sorting Method | Bait Method,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Chlorophorus graphus,,KL_Insect_0000095,67558,t0078251,Chlorophorus graphus,Animalia,species,圖紋虎天牛,accepted,
2009-00-00_Insect_HumanObservation_017,HumanObservation,,2009-00-00_Insect_HumanObservation_017,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2009,,2009,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Lampides boeticus,,KL_Insect_0000001,36747,t0027297,Lampides boeticus,Animalia,species,豆波灰蝶,accepted,
2009-00-00_Insect_HumanObservation_018,HumanObservation,,2009-00-00_Insect_HumanObservation_018,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2009,,2009,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Zizeeria maha okinawana,,KL_Insect_0000002,35344,t0085052,Zizeeria maha okinawana,Animalia,subspecies,沖繩小灰蝶,accepted,毛眼灰蝶 | 柞灰蝶 | 酢醬灰蝶 | 小型小灰蝶 | 大和小灰蝶 | 藍灰蝶
2009-00-00_Insect_HumanObservation_019,HumanObservation,,2009-00-00_Insect_HumanObservation_019,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2009,,2009,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Vanessa cardui,,KL_Insect_0000007,38116,t0028473,Vanessa cardui,Animalia,species,小紅蛺蝶,accepted,
2009-00-00_Insect_HumanObservation_020,HumanObservation,,2009-00-00_Insect_HumanObservation_020,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,2009,,2009,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Vanessa indica,,KL_Insect_0000008,34556,t0056704,Vanessa indica,Animalia,species,大紅蛺蝶,accepted,
