id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
1994-00-00_Plant_Mianhua Islet_0001,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Cyrtomium falcatum,,KL_Plant_0000001,25108,t0058916,Cyrtomium falcatum,Plantae,species,全緣貫眾蕨,accepted,
1994-00-00_Plant_Mianhua Islet_0002,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0002,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Pteris fauriei var. fauriei,,KL_Plant_0000002,145731,t0101197,Pteris fauriei var. fauriei,Plantae,variety,傅氏鳳尾蕨,accepted,
1994-00-00_Plant_Mianhua Islet_0003,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Tetragonia tetragonoides,,KL_Plant_0000006,25847,t0055572,Tetragonia tetragonoides,Plantae,species,番杏,accepted,
1994-00-00_Plant_Mianhua Islet_0004,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Sagina japonica,,KL_Plant_0000007,25741,t0055186,Sagina japonica,Plantae,species,瓜槌草,accepted,
1994-00-00_Plant_Mianhua Islet_0005,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0005,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Persicaria chinensis,,KL_Plant_0000009,58649,t0058947,Persicaria chinensis,Plantae,species,火炭母草,accepted,
1994-00-00_Plant_Mianhua Islet_0006,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0006,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Rumex japonicus,,KL_Plant_0000010,120410,t0059215,Rumex japonicus,Plantae,species,羊蹄,accepted,
1994-00-00_Plant_Mianhua Islet_0007,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0007,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Boerhavia diffusa,,KL_Plant_0000012,121755,t0102082,Boerhavia diffusa,Plantae,species,黃細心,accepted,
1994-00-00_Plant_Mianhua Islet_0008,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0008,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Portulaca oleracea,,KL_Plant_0000014,23727,t0054931,Portulaca oleracea,Plantae,species,馬齒莧,accepted,
1994-00-00_Plant_Mianhua Islet_0009,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0009,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Portulaca pilosa,,KL_Plant_0000015,23728,t0054932,Portulaca pilosa,Plantae,species,毛馬齒莧,accepted,
1994-00-00_Plant_Mianhua Islet_0010,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0010,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Chenopodium acuminatum,,KL_Plant_0000016,55050,t0073189,Chenopodium acuminatum,Plantae,species,變葉藜,accepted,
1994-00-00_Plant_Mianhua Islet_0011,HumanObservation,,1994-00-00_Plant_Mianhua Islet_0011,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),,,,,,,,,1994,,1994,,,Line Transect Survey | Quadrat Sampling (10*10 m²),Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Dysphania ambrosioides,,KL_Plant_0000017,25192,t0053465,Dysphania ambrosioides,Plantae,species,臭莧,accepted,臭杏
