id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
1994-00-00_Reptile_HumanObservation_0001,HumanObservation,,1994-00-00_Reptile_HumanObservation_0001,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.74,2011年後各年基鳥報告多有提及,1994,,1994,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2008-00-00_Reptile_HumanObservation_0002,HumanObservation,,2008-00-00_Reptile_HumanObservation_0002,臺灣珊瑚礁學會 (Taiwanese Coral Reef Society),1,,,,,,2008年北方三島自然資源調查計畫成果報告書 p.64、p.79,有發現成體及卵,2008,,2008,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2009-00-00_Reptile_HumanObservation_0003,HumanObservation,,2009-00-00_Reptile_HumanObservation_0003,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),20,,,,,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.11,2011年後各年基鳥報告多有提及,2009,,2009,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2010-00-00_Reptile_HumanObservation_0004,HumanObservation,,2010-00-00_Reptile_HumanObservation_0004,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.11,2011年後各年基鳥報告多有提及,2010,,2010,,,,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2011-00-00_Reptile_HumanObservation_0005,HumanObservation,,2011-00-00_Reptile_HumanObservation_0005,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.74,,2011,,2011,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2012-00-00_Reptile_HumanObservation_0006,HumanObservation,,2012-00-00_Reptile_HumanObservation_0006,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2012年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.71,,2012,,2012,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2013-00-00_Reptile_HumanObservation_0007,HumanObservation,,2013-00-00_Reptile_HumanObservation_0007,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2013年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.72,,2013,,2013,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2014-00-00_Reptile_HumanObservation_0008,HumanObservation,,2014-00-00_Reptile_HumanObservation_0008,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2014年棉花嶼、瓶野生動物保護區陸域生態調查委託案成果報告 p.73,,2014,,2014,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2015-00-00_Reptile_HumanObservation_0009,HumanObservation,,2015-00-00_Reptile_HumanObservation_0009,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2015年棉花嶼、花瓶嶼野生動物保護區陸域生態調查委託案成果報告書 p.60,,2015,,2015,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2016-00-00_Reptile_HumanObservation_0010,HumanObservation,,2016-00-00_Reptile_HumanObservation_0010,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2016年棉花嶼、花瓶嶼野生動物保護區陸域生態調查委託案報告書 p.53,,2016,,2016,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2017-00-00_Reptile_HumanObservation_0011,HumanObservation,,2017-00-00_Reptile_HumanObservation_0011,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2017年棉花嶼、瓶野生動物保護區態調查委託案報告書 p.55,有發現幼體,2017,,2017,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
2020-00-00_Reptile_HumanObservation_0012,HumanObservation,,2020-00-00_Reptile_HumanObservation_0012,社團法人基隆市野鳥學會 (Wild Bird Society of Keelung),1,,,,,,2020年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告書 p.53,,2020,,2020,,,Line Transect Survey,Asia,Taiwan,TW,Mianhua Islet,,,25.48483,122.10535,EPSG:4326,400,1e-05,Gekko hokouensis,,KL_Reptile_0000001,73485,t0064361,Gekko hokouensis,Animalia,species,鉛山壁虎,accepted,
