id	basisOfRecord	dynamicProperties	occurrenceID	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	vitality	georeferenceVerificationStatus	occurrenceStatus	associatedMedia	associatedReferences	occurrenceRemarks	eventDate	eventTime	year	month	day	verbatimEventDate	samplingProtocol	continent	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	taxonID	scientificName	taxonRank	vernacularName
2020-00-00_藻類調查_0001	HumanObservation		2020-00-00_藻類調查_0001	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000001	Caulerpa racemosa	species	總狀蕨藻
2020-00-00_藻類調查_0002	HumanObservation		2020-00-00_藻類調查_0002	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000002	Porphyra	genus	紫菜屬
2020-00-00_藻類調查_0003	HumanObservation		2020-00-00_藻類調查_0003	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000003	Asparagopsis taxiformis	species	蘆筍藻
2020-00-00_藻類調查_0004	HumanObservation		2020-00-00_藻類調查_0004	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000004	Mastophora rosea	species	寬珊藻
2020-00-00_藻類調查_0005	HumanObservation		2020-00-00_藻類調查_0005	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000005	Dudresnaya japonica	species	日本杜蠕藻
2020-00-00_藻類調查_0006	HumanObservation		2020-00-00_藻類調查_0006	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000006	Chondrus	genus	角叉菜屬
2020-00-00_藻類調查_0007	HumanObservation		2020-00-00_藻類調查_0007	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000007	Halymenia floresia	species	海膜
2020-00-00_藻類調查_0008	HumanObservation		2020-00-00_藻類調查_0008	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000008	Hypnea pannosa	species	巢沙菜
2020-00-00_藻類調查_0009	HumanObservation		2020-00-00_藻類調查_0009	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000009	Valoniopsis pachynema	species	指枝藻
2020-00-00_藻類調查_0010	HumanObservation		2020-00-00_藻類調查_0010	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000010	Ulva pertusa	species	孔石蓴
2020-00-00_藻類調查_0011	HumanObservation		2020-00-00_藻類調查_0011	社團法人基隆市野鳥學會														2020		2020			2020-00-00		Asia	Taiwan	棉花嶼								KL_Algae_0000011	Dictyosphaeria cavernosa	species	網球藻
2022-03-15_Avian_基隆海域_01	HumanObservation	{heightInMeters:20, distanceInMeters:150, azimuth:N, angleWithShip:2}	2022-03-15_Avian_基隆海域_01	研海生態顧問股份有限公司	1						飛行						羽毛磨損，後停在海上	2022-03-15	06:59	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.298417	121.9195	WGS84	1	0.000001	KL_Avian_0000003	Mareca penelope	species	赤頸鴨
2022-03-15_Avian_基隆海域_02	HumanObservation	{heightInMeters:1, distanceInMeters:200, azimuth:E, angleWithShip:11}	2022-03-15_Avian_基隆海域_02	研海生態顧問股份有限公司	4						飛行							2022-03-15	07:28	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.325472	121.952917	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_03	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:E, angleWithShip:11}	2022-03-15_Avian_基隆海域_03	研海生態顧問股份有限公司	1						飛行							2022-03-15	07:31	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.331778	121.957306	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_04	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:E, angleWithShip:11}	2022-03-15_Avian_基隆海域_04	研海生態顧問股份有限公司	1						飛行							2022-03-15	07:32	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.334889	121.959472	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_05	HumanObservation	{heightInMeters:1, distanceInMeters:200, azimuth:E, angleWithShip:10}	2022-03-15_Avian_基隆海域_05	研海生態顧問股份有限公司	1						飛行							2022-03-15	07:34	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.339611	121.962639	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_06	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:E, angleWithShip:10}	2022-03-15_Avian_基隆海域_06	研海生態顧問股份有限公司	2						飛行							2022-03-15	07:46	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.37125	121.98325	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_07	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:E, angleWithShip:11}	2022-03-15_Avian_基隆海域_07	研海生態顧問股份有限公司	2						飛行							2022-03-15	08:03	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.410667	122.011583	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_08	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:S, angleWithShip:3}	2022-03-15_Avian_基隆海域_08	研海生態顧問股份有限公司	1						飛行							2022-03-15	09:11	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.487917	122.115111	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_09	HumanObservation	{heightInMeters:30, distanceInMeters:300, azimuth:S, angleWithShip:3}	2022-03-15_Avian_基隆海域_09	研海生態顧問股份有限公司	1						飛行							2022-03-15	09:11	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.487917	122.115111	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-03-15_Avian_基隆海域_10	HumanObservation	{heightInMeters:30, distanceInMeters:400, azimuth:NE, angleWithShip:6}	2022-03-15_Avian_基隆海域_10	研海生態顧問股份有限公司	1						飛行							2022-03-15	10:18	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.526556	122.053056	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
