x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,Benthic Invertebrate_Lomolino,Benthic Invertebrate_Asymp,Benthic Invertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten
1,0.0,51.34406460511272,0.0,,6.958013446245332,0.0,0.0,1.1358912122209652,0.0,0.0,25.296290264693937,0.0,0.0,38.0771514811231,0.0,0.0,15.994086666919088,0.0
2,70.26837769074974,78.1450116934032,57.443593715874144,,32.58417296522006,30.279025994806453,2.0224737632479064,2.0296474511905904,1.922499925902773,82.7349551209246,83.57323981752526,79.52287364582654,43.20468254163337,45.787676064935965,35.24138123915502,25.415566654482795,28.066612564980062,18.7063145912538
3,103.21511526098948,101.43419386532437,95.97360745749995,,54.992165276974475,54.89994431656694,2.734212210774354,2.7163401529681046,2.8088577136128325,130.36982096241456,128.8168691620495,130.52130545557287,53.26914592859927,52.4273598104343,51.55318083736238,39.62456274693372,39.226436595893546,34.399184789216335
4,126.25192290978096,121.67176250236344,123.61070166750778,,74.58613210106509,75.31319467378519,3.237793440074549,3.24394135575034,3.3189131297698813,164.41952517112472,163.94200889519539,166.00872446895448,59.69318018156104,58.14492153545438,60.95820385462695,50.971701137788266,49.54256045038511,47.75249600804477
5,143.92123335606507,139.25757471833106,144.40212092209964,,91.7194625022082,92.51248897247379,3.6364535822420985,3.6493090383494344,3.6503427108158792,190.4870773533205,191.21160373423868,192.127481104701,64.4489286125311,63.06842592699691,67.07672167473739,60.664157578071766,59.07876918328381,59.25314114283035
6,158.1625903553833,154.53909380008793,160.61106718512968,,106.70116647619965,107.2014652515892,3.9696436508478556,3.9607620017415277,3.88299849557514,211.28537033822224,212.38250321919776,212.15494693503643,68.2303406197278,67.30815199544672,71.37517803785082,69.22121776630257,67.89402559936678,69.26167241282965
7,170.0149046700156,167.818254442669,173.60214028506786,,119.80144813243481,119.89233293186513,4.2573392621251855,4.200058207555872,4.055309478193328,228.36390387420326,228.81864712407608,227.9994667784402,71.36864693736487,70.95906315668594,74.56053762188108,76.92932019807192,76.0428348230163,78.05078410421963
8,180.10663055487183,179.35742842321818,184.24705217984464,,131.2565789887528,130.96682615954475,4.511261895307827,4.383914779326718,4.188058219341867,242.6938769444768,241.57893757152704,240.8476055014934,74.0492807054918,74.10293426818318,77.01559648040396,83.96849948781873,83.57558130583972,85.83053701243583
9,188.848806139627,189.38460858447135,193.1287327623655,,141.27315927143042,140.71526152224348,4.738958658234472,4.525175853100508,4.293466754097542,254.92315394354836,251.4854590309176,251.47591125694683,76.38702489257957,76.81018326143231,78.96567681685099,90.46157628054608,90.53884035598544,92.76536432906937
10,196.52550970457716,198.09791355376208,200.65176849374674,,150.03184407545336,149.36235801566778,4.945611905709336,4.633709862907866,4.379192773882675,265.50410642980665,259.17644128790613,260.41393400692095,78.45806258926902,79.14144839652175,80.55205219119082,96.49721651573674,96.97566611535476,98.98582210404757
