Year,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
1994,28.054146288328628,,,,9.572293814142249,12.970454386050218
1995,,,,,,
1996,,,,,,
1997,,,,,5.279233112355851,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,28.67322991253555,,,,,
2003,27.6716265264021,,,,,
2004,,,,,,
2005,26.215048605175465,,,,3.7071499839267696,
2006,,,,,,
2007,,,,,,
2008,24.671514820592503,,,,4.077185771037846,15.229343690137584
2009,23.13634732017277,,,,4.623797271811698,16.16783503828749
2010,21.6428241999067,,,,4.972560297291463,16.347781932178137
2011,20.199513171391974,,,25.053412330214723,5.143692262223954,16.072989546197093
2012,18.80743766647647,,,,5.190573204299935,15.523171920553422
2013,17.46213121108147,,,,5.142561451006946,14.807389573432307
2014,16.1595701991488,16.64660250621729,,,5.023733923078951,13.995164402290934
2015,14.893024949334567,,,,4.841168835154115,13.130651218921965
2016,13.656039300691873,,,,4.6019127611529385,12.239078599624676
2017,12.441864243962158,18.417082037473524,,,4.307566763063683,11.335156242283485
2018,11.240675604128082,18.304171929983962,,,3.958240702069833,10.421867616269054
2019,10.04207958768936,,,,3.5441632976254502,9.49195082836344
2020,8.832745332720982,17.416632935126554,0.0,21.351474633860427,3.0612280898092408,8.533375596977443
2021,7.584707871226046,,,17.04957019309204,2.4627768969612336,7.521519868659057
2022,6.282809418982296,16.11153426021385,0.5999999999999999,13.81471817396194,1.6543403837370223,6.41836927007973
2023,4.8440180948975415,14.097085024419334,0.6,11.492094812987407,0.0,5.159589546650491
2024,3.0410415788504963,10.839741694339398,0.48989794855663565,8.497298490264598,,3.492770531165697
2025,0.0,0.0,0.0,0.0,,0.0
