Year,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
1994,55.0,,,,5.0,36.0
1995,,,,,,
1996,,,,,,
1997,,,,,,41.0
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,61.0,,,,,
2003,98.0,,,,,
2004,,,,,,
2005,111.0,,,,,46.0
2006,,,,,,
2007,,,,,,
2008,117.0,,,,14.0,62.0
2009,166.0,,,,25.0,65.0
2010,178.0,,,,38.0,75.0
2011,185.0,,,68.0,47.0,79.0
2012,188.0,,,,51.0,80.0
2013,191.0,,,,54.0,81.0
2014,208.0,15.0,,,55.0,82.0
2015,222.0,,,,57.0,84.0
2016,223.0,,,,58.0,85.0
2017,224.0,22.0,,,65.0,86.0
2018,225.0,23.0,,,70.0,87.0
2019,226.0,,,,70.0,87.0
2020,227.0,53.0,2.0,99.0,76.0,88.0
2021,229.0,,,137.0,102.0,88.0
2022,231.0,81.0,3.0,182.0,109.0,88.0
2023,234.0,100.0,3.0,210.0,116.0,90.0
2024,245.0,105.0,3.0,224.0,127.0,
2025,248.0,139.0,4.0,241.0,133.0,
