Year,Algae,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Reptile,Insect
1994,,55.0,,,,35.0,1.0,5.0
1995,,,,,,,,
1996,,,,,,,,
1997,,,,,,6.0,,
1998,,,,,,,,
1999,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,6.0,,,,,,
2003,,37.0,,,,,,
2004,,,,,,,,
2005,,13.0,,,,4.0,,
2006,,,,,,,,
2007,,,,,,,,
2008,,6.0,,,,15.0,0.0,9.0
2009,,49.0,,,,3.0,0.0,11.0
2010,,12.0,,,,10.0,0.0,14.0
2011,,7.0,,,68.0,4.0,0.0,9.0
2012,,3.0,,,,1.0,0.0,4.0
2013,,3.0,,,,1.0,0.0,3.0
2014,,17.0,15.0,,,1.0,0.0,1.0
2015,,14.0,,,,2.0,0.0,2.0
2016,,1.0,,,,1.0,0.0,1.0
2017,,1.0,7.0,,,2.0,0.0,7.0
2018,,1.0,1.0,,,1.0,,5.0
2019,,1.0,,,,0.0,,0.0
2020,9.0,1.0,30.0,2.0,31.0,1.0,0.0,6.0
2021,,2.0,,,38.0,3.0,2.0,29.0
2022,,2.0,29.0,1.0,45.0,0.0,1.0,12.0
2023,,3.0,19.0,0.0,30.0,2.0,0.0,6.0
2024,,14.0,7.0,0.0,13.0,,0.0,12.0
2025,,3.0,34.0,1.0,18.0,,0.0,6.0
