Year,Algae,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant,Reptile
1994,,55.0,,,,5.0,36.0,1.0
1995,,,,,,,,
1996,,,,,,,,
1997,,,,,,,5.0,
1998,,,,,,,,
1999,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,6.0,,,,,,
2003,,37.0,,,,,,
2004,,,,,,,,
2005,,13.0,,,,,5.0,
2006,,,,,,,,
2007,,,,,,,,
2008,,6.0,,,,9.0,16.0,0.0
2009,,49.0,,,,11.0,3.0,0.0
2010,,12.0,,,,13.0,10.0,0.0
2011,,7.0,,,68.0,9.0,4.0,0.0
2012,,3.0,,,,4.0,1.0,0.0
2013,,3.0,,,,3.0,1.0,0.0
2014,,17.0,15.0,,,1.0,1.0,0.0
2015,,14.0,,,,2.0,2.0,0.0
2016,,1.0,,,,1.0,1.0,0.0
2017,,1.0,7.0,,,7.0,1.0,0.0
2018,,1.0,1.0,,,5.0,1.0,
2019,,1.0,,,,0.0,0.0,
2020,9.0,1.0,30.0,2.0,31.0,6.0,1.0,0.0
2021,,2.0,,,38.0,26.0,0.0,2.0
2022,,2.0,28.0,1.0,45.0,7.0,0.0,1.0
2023,,3.0,19.0,0.0,28.0,7.0,2.0,0.0
2024,,11.0,5.0,0.0,14.0,11.0,,0.0
2025,,3.0,34.0,1.0,17.0,6.0,,0.0
