Year,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
1994,55.0,,,,35.0,5.0
1995,,,,,,
1996,,,,,,
1997,,,,,41.0,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,61.0,,,,,
2003,98.0,,,,,
2004,,,,,,
2005,111.0,,,,45.0,
2006,,,,,,
2007,,,,,,
2008,117.0,,,,60.0,14.0
2009,166.0,,,,63.0,25.0
2010,178.0,,,,73.0,39.0
2011,185.0,,,68.0,77.0,48.0
2012,188.0,,,,78.0,52.0
2013,191.0,,,,79.0,55.0
2014,208.0,15.0,,,80.0,56.0
2015,222.0,,,,82.0,58.0
2016,223.0,,,,83.0,59.0
2017,224.0,22.0,,,85.0,66.0
2018,225.0,23.0,,,86.0,71.0
2019,226.0,,,,86.0,71.0
2020,227.0,53.0,2.0,99.0,87.0,77.0
2021,229.0,,,137.0,90.0,106.0
2022,231.0,82.0,3.0,182.0,90.0,118.0
2023,234.0,101.0,3.0,212.0,92.0,124.0
2024,248.0,108.0,3.0,225.0,,136.0
2025,251.0,142.0,4.0,243.0,,142.0
