Year,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
1994,69.68181818181823,,,,42.05263157894736,24.63157894736841
1995,,,,,,
1996,,,,,,
1997,,,,,54.23391812865501,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,103.60606060606078,,,,,
2003,126.64025974025967,,,,,
2004,,,,,,
2005,144.12686261107325,,,,60.61093911248719,
2006,,,,,,
2007,,,,,,
2008,158.19761525024694,,,,64.94659442724465,39.50292397660829
2009,169.93589588945648,,,,68.35036119711049,51.19917440660501
2010,179.967609531851,,,,71.21800825593401,61.05701754385986
2011,188.68981768145883,,,82.42857142857142,73.72749464158136,69.64387684898534
2012,196.37278959430665,,,,75.97564234870741,77.28873654725064
2013,203.2104969334071,,,,78.02166100153718,84.20733111058195
2014,209.34774861361558,31.874999999999986,,,79.90401394271368,90.55240665766998
2015,214.89587192992764,,,,81.64846127384828,96.43712788759231
2016,219.94236259096945,,,,83.27262443438917,101.947476671935
2017,224.55714419739192,55.82142857142856,,,84.78884711779449,107.14967849487974
2018,228.79680903461866,75.21428571428575,,,86.20605435156521,112.09512185440988
2019,232.70759787168458,,,,87.53095975232199,116.82386112339674
2020,236.32756132756137,91.69999999999997,2.0,130.8571428571429,88.76883384932921,121.36721706226358
2021,239.68817498291185,,,164.57142857142858,89.92397660818713,125.749742002064
2022,242.8155844155844,106.1607142857143,2.8,190.22857142857146,91.0,129.99071207430345
2023,245.73160173160173,119.14285714285714,3.1999999999999997,210.95238095238096,92.0,134.10526315789474
2024,248.45454545454547,131.0,3.6,228.28571428571428,,138.10526315789474
2025,251.0,142.0,4.0,243.0,,142.0
