Year,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Insect
1994,69.68181818181823,,,,42.05263157894736,24.63157894736841
1995,,,,,,
1996,,,,,,
1997,,,,,12.18128654970765,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,33.92424242424255,,,,,
2003,23.034199134198886,,,,,
2004,,,,,,
2005,17.486602870813584,,,,6.377020983832175,
2006,,,,,,
2007,,,,,,
2008,14.07075263917369,,,,4.33565531475746,14.871345029239876
2009,11.738280639209535,,,,3.4037667698658396,11.696250429996724
2010,10.031713642394521,,,,2.867647058823522,9.857843137254847
2011,8.722208149607837,,,82.42857142857142,2.5094863856473495,8.586859305125486
2012,7.682971912847819,,,,2.2481477071260514,7.644859698265293
2013,6.837707339100433,,,,2.0460186528297726,6.918594563331311
2014,6.137251680208493,31.874999999999986,,,1.8823529411764923,6.34507554708803
2015,5.548123316312058,,,,1.7444473311346087,5.884721229922334
2016,5.046490661041815,,,,1.6241631605408884,5.510348784342682
2017,4.6147816064224685,23.946428571428577,,,1.5162226834053172,5.202201822944744
2018,4.239664837226741,19.39285714285719,,,1.4172072337707249,4.945443359530145
2019,3.9107888370659225,,,,1.3249054007567764,4.728739268986857
2020,3.6199634558767855,16.485714285714224,2.0,48.42857142857147,1.2378740970072215,4.5433559388668385
2021,3.360613655350477,,,33.714285714285694,1.1551427588579202,4.382524939800419
2022,3.1274094326725503,14.460714285714332,0.7999999999999998,25.657142857142873,1.0760233918128677,4.240970072239449
2023,2.9160173160173315,12.982142857142833,0.3999999999999999,20.723809523809507,1.0,4.114551083591294
2024,2.7229437229437394,11.857142857142861,0.40000000000000036,17.333333333333314,,4.0
2025,2.5454545454545325,11.0,0.3999999999999999,14.714285714285722,,3.89473684210526
