Year,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
1994,69.63636363636368,,,,24.473684210526304,44.47368421052631
1995,,,,,,
1996,,,,,,
1997,,,,,,56.58479532163746
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,103.37662337662354,,,,,
2003,126.1727272727272,,,,,
2004,,,,,,
2005,143.4112098427889,,,,,62.64912280701762
2006,,,,,,
2007,,,,,,
2008,157.24432292853356,,,,38.83040935672524,66.66047471620233
2009,168.76301716859012,,,,49.975232198142656,69.74260405916758
2010,178.59431583638238,,,,59.293343653250965,72.29360165118683
2011,187.1336679488385,,,82.57142857142857,67.34838321293444,74.49349051361438
2012,194.64897470950106,,,,74.4649122807019,76.44089862665719
2013,201.3320070022856,,,,80.85893466698425,78.19658360215637
2014,207.32587265675508,31.624999999999986,,,86.68537482469385,79.80029877243503
2015,212.74073140481806,,,,92.05941890926414,81.27883623084863
2016,217.66335290096907,,,,97.06821970599071,82.65059141065335
2017,222.16325171216815,55.21428571428571,,,101.77833346563997,83.92842400117942
2018,226.2968148982081,74.19642857142861,,,106.2408906882592,85.1215170278638
2019,230.11019527428198,,,,110.49539289399972,86.23658410732715
2020,233.64141414141417,90.25714285714284,2.0,130.952380952381,114.57258341933272,87.27863777089784
2021,236.92194121667808,,,164.45714285714288,118.4966460268318,88.2514619883041
2022,239.97792207792207,104.30357142857144,2.8,189.7714285714286,122.28689370485039,89.15789473684211
2023,242.83116883116884,116.89285714285714,3.1999999999999997,210.04761904761904,125.9590643274854,90.0
2024,245.5,128.375,3.6,226.85714285714286,129.52631578947367,
2025,248.0,139.0,4.0,241.0,133.0,
