Year,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
1994,28.01873635224937,,,,12.583901248703402,10.225707650471366
1995,,,,,,
1996,,,,,,
1997,,,,,,5.810663537295405
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,28.514606637958863,,,,,
2003,27.411192224990913,,,,,
2004,,,,,,
2005,25.879244712878176,,,,,4.130057645723375
2006,,,,,,
2007,,,,,,
2008,24.281711339000477,,,,14.39680521621969,4.284929364406595
2009,22.708474848877533,,,,15.029794143420828,4.6985312835033834
2010,21.18861778293955,,,,15.00129560980819,4.973851347939343
2011,19.72794687316001,,,24.858784839035664,14.585272591037697,5.100016772252283
2012,18.325753207096252,,,,13.943955328206783,5.115201029506865
2013,16.976645347481345,,,,13.173136169077868,5.041845372639746
2014,15.676076258935433,16.552473380132646,,,12.335701368197983,4.900714690107717
2015,14.417107742391124,,,,11.47100619679137,4.6987421231430035
2016,13.193517516494765,,,,10.602343905898435,4.443148102143013
2017,11.998310206709636,18.38758800940133,,,9.741681421334139,4.1363978986752805
2018,10.82197217822999,18.322921332053834,,,8.892228155150116,3.7790979739994417
2019,9.654272349549274,,,,8.047381404619124,3.363404657703698
2020,8.482106173817625,17.45447591981972,0.0,21.033509754807685,7.196439692317085,2.8867845316012914
2021,7.277946805039746,,,16.690073354131215,6.318468318503639,2.304385862476189
2022,6.027565337793564,16.14849155269289,0.5999999999999999,13.502275040265314,5.379243253641561,1.5308462707630515
2023,4.649875723646009,14.081473442909624,0.6,11.360323603115859,4.3175180273571065,0.0
2024,2.934899719519623,10.850547221223453,0.48989794855663565,8.542809364414884,2.98008161408254,
2025,0.0,0.0,0.0,0.0,0.0,
