Year,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
1994,69.63636363636368,,,,24.473684210526304,44.47368421052631
1995,,,,,,
1996,,,,,,
1997,,,,,,12.11111111111115
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,33.74025974025986,,,,,
2003,22.79610389610366,,,,,
2004,,,,,,
2005,17.238482570061706,,,,,6.064327485380161
2006,,,,,,
2007,,,,,,
2008,13.833113085744657,,,,14.356725146198936,4.011351909184711
2009,11.518694240056561,,,,11.144822841417415,3.0821293429652457
2010,9.831298667792254,,,,9.318111455108308,2.5509975920192574
2011,8.539352112456129,,,82.57142857142857,8.055039559683472,2.1998888624275423
2012,7.515306760662554,,,,7.116529067767459,1.9474081130428118
2013,6.683032292784532,,,,6.394022386282359,1.7556849754991788
2014,5.993865654469488,31.624999999999986,,,5.826440157709598,1.6037151702786616
2015,5.414858748062983,,,,5.374044084570286,1.478537458413598
2016,4.9226214961510095,,,,5.008800796726575,1.3717551798047225
2017,4.499898811199074,23.589285714285722,,,4.710113759649261,1.2778325905260743
2018,4.133563186039964,18.982142857142904,,,4.462557222619225,1.1930930266843802
2019,3.813380376073866,,,,4.254502205740522,1.1150670794633442
2020,3.5312188671321962,16.060714285714226,2.0,48.38095238095242,4.077190525332995,1.042053663570698
2021,3.2805270752639046,,,33.50476190476189,3.9240626074990814,0.9728242174062558
2022,3.055980861243995,14.046428571428606,0.7999999999999998,25.314285714285717,3.790247678018588,0.906432748538009
2023,2.853246753246765,12.589285714285694,0.3999999999999999,20.276190476190436,3.672170622635008,0.8421052631578902
2024,2.6688311688311614,11.482142857142861,0.40000000000000036,16.809523809523824,3.5672514619882776,
2025,2.5,10.625,0.3999999999999999,14.142857142857139,3.4736842105263293,
