Year,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant
1994,55,,,,5,36
1995,,,,,,
1996,,,,,,
1997,,,,,,30
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,16,,,,,
2003,65,,,,,
2004,,,,,,
2005,48,,,,,23
2006,,,,,,
2007,,,,,,
2008,38,,,,10,37
2009,129,,,,17,32
2010,78,,,,21,46
2011,81,,,68,24,49
2012,62,,,,21,50
2013,52,,,,18,49
2014,109,15,,,19,50
2015,126,,,,19,52
2016,83,,,,17,54
2017,87,21,,,21,56
2018,69,5,,,22,56
2019,30,,,,15,49
2020,51,34,2,43,24,57
2021,42,,,63,50,29
2022,62,42,2,96,49,38
2023,76,37,2,125,35,52
2024,91,37,2,88,51,
2025,82,62,2,95,27,
