Year,Algae,Avian,BenthicInvertebrate,Cetacean,Fish,Insect,Plant,Reptile,sum
1994,0,1,0,0,0,1,1,1,4
1997,0,0,0,0,0,0,1,0,1
2002,0,1,0,0,0,0,0,0,1
2003,0,1,0,0,0,0,0,0,1
2005,0,1,0,0,0,0,1,0,2
2008,0,1,0,0,0,1,1,1,4
2009,0,1,0,0,0,1,1,1,4
2010,0,1,0,0,0,1,1,1,4
2011,0,1,0,0,1,1,1,1,5
2012,0,1,0,0,0,1,1,1,4
2013,0,1,0,0,0,1,1,1,4
2014,0,1,1,0,0,1,1,1,5
2015,0,1,0,0,0,1,1,1,4
2016,0,1,0,0,0,1,1,1,4
2017,0,1,1,0,0,1,1,1,5
2018,0,1,1,0,0,1,1,0,4
2019,0,1,0,1,0,1,1,0,4
2020,1,1,1,1,1,1,1,1,8
2021,0,1,0,1,1,1,1,1,6
2022,0,1,1,1,1,1,1,1,7
2023,0,1,1,1,1,1,1,1,7
2024,1,1,1,1,1,1,0,1,7
2025,0,1,1,1,1,1,0,1,6
