Year,Algae,Avian,Benthic Invertebrate,Cetacean,Fish,Plant,Reptile,Insect
1994,,55.0,,,,35.0,1.0,5.0
1995,,,,,,,,
1996,,,,,,,,
1997,,,,,,29.0,,
1998,,,,,,,,
1999,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,16.0,,,,,,
2003,,65.0,,,,,,
2004,,,,,,,,
2005,,48.0,,,,21.0,,
2006,,,,,,,,
2007,,,,,,,,
2008,,38.0,,,,34.0,1.0,10.0
2009,,129.0,,,,29.0,1.0,17.0
2010,,78.0,,,,43.0,1.0,21.0
2011,,81.0,,,68.0,46.0,1.0,24.0
2012,,62.0,,,,47.0,1.0,21.0
2013,,52.0,,,,46.0,1.0,18.0
2014,,109.0,15.0,,,47.0,1.0,19.0
2015,,126.0,,,,49.0,1.0,19.0
2016,,83.0,,,,51.0,1.0,17.0
2017,,87.0,21.0,,,53.0,1.0,21.0
2018,,69.0,5.0,,,53.0,,22.0
2019,,30.0,,,,46.0,,15.0
2020,9.0,51.0,34.0,2.0,43.0,54.0,1.0,24.0
2021,,42.0,,,63.0,29.0,2.0,51.0
2022,,62.0,42.0,2.0,96.0,38.0,2.0,52.0
2023,,76.0,37.0,2.0,126.0,49.0,2.0,34.0
2024,,92.0,39.0,2.0,86.0,,1.0,51.0
2025,,82.0,62.0,2.0,95.0,,1.0,27.0
